City,Country,Latitude,Temperature,Humidity,Wind Speed,Cloudiness,Date
Sao Joao dos Patos,BR,-6.5,72.25,93,5.95,75,1577517461
Panguna,PG,-6.32,76.51,86,3.2,72,1577517461
Maymyo,MM,22.03,69.8,73,5.82,75,1577517461
Dickinson,US,46.88,17.22,78,4.7,1,1577517410
Tanabe,JP,33.73,50.0,57,13.87,20,1577517461
Impfondo,CD,1.62,72.77,51,3.04,100,1577517461
Prince Rupert,CA,54.32,44.6,87,25.28,90,1577517462
Maldonado,UY,-34.91,75.2,88,3.36,51,1577517326
Carutapera,BR,-1.2,82.02,79,17.69,98,1577517462
Muncar,ID,-8.43,85.23,68,5.46,2,1577517462
Khorinsk,RU,52.16,-1.43,91,4.34,100,1577517462
Bandarbeyla,SO,9.49,78.96,71,19.57,100,1577517462
Muros,ES,42.77,40.26,46,1.12,36,1577517462
Prachuap Khiri Khan,TH,11.81,81.37,69,8.88,0,1577517462
Aktau,KZ,43.65,37.4,93,8.95,90,1577517462
Sao Felix do Xingu,BR,-6.64,72.37,98,1.32,64,1577517463
Kemlya,RU,54.69,16.59,89,6.42,100,1577517463
Lubango,AO,-14.92,60.01,92,6.08,100,1577517463
Auki,NG,12.18,57.76,19,11.59,0,1577517463
Erie,US,42.13,37.44,86,5.82,90,1577517355
Dharchula,IN,29.85,45.91,20,6.08,0,1577517463
Tiarei,PF,-17.53,77.0,78,6.93,75,1577517253
Ada,US,34.77,57.11,100,9.17,90,1577517279
Emerald,AU,-23.53,89.83,36,14.99,90,1577517463
Broadstairs,GB,51.36,45.32,100,3.36,75,1577517464
Winnemucca,US,40.97,26.8,73,3.36,90,1577517464
Wuan,CN,31.68,53.44,34,11.86,76,1577517464
Giyani,ZA,-23.32,68.38,66,12.62,100,1577517464
Porto Novo,BR,-23.68,69.8,83,2.24,75,1577517227
Dedenevo,RU,56.24,30.2,92,8.95,90,1577517464
Klichka,RU,50.44,-12.39,89,4.0,96,1577517464
Adre,TD,13.47,55.74,24,14.41,0,1577517464
Yishui,CN,35.78,45.88,43,8.81,30,1577517465
Sisimiut,GL,66.94,2.14,53,5.79,20,1577517465
Anadyr,RU,64.73,-27.18,74,6.71,0,1577517465
Chifeng,CN,42.27,21.33,65,6.38,38,1577517465
Angoche,MZ,-16.23,84.51,79,7.25,100,1577517465
Vila,IT,45.18,32.4,100,8.05,0,1577517465
Tomohon,ID,1.33,84.2,79,2.24,40,1577517465
Kodinsk,RU,58.6,-19.8,91,2.77,0,1577517465
Kamenskiy,RU,50.89,21.52,93,5.88,80,1577517466
Waconia,US,44.85,23.43,92,6.89,90,1577517466
Mayma,RU,52.0,6.17,83,2.39,0,1577517466
Rundu,NA,-17.91,69.8,88,5.82,100,1577517466
Freeport,BS,26.54,74.98,80,20.85,33,1577517466
Pau,FR,43.3,45.21,93,6.93,90,1577517466
Paidha,UG,2.42,71.35,45,4.76,100,1577517466
Shimoda,JP,34.7,50.2,50,4.7,75,1577517466
Victor Harbor,AU,-35.55,82.71,33,13.87,0,1577517466
Sungaipenuh,ID,-2.08,75.85,70,2.66,100,1577517467
Saldanha,PT,41.42,38.05,61,3.0,0,1577517467
Kitimat,CA,54.02,33.89,100,10.29,90,1577517315
Swan River,CA,52.11,7.32,90,9.51,0,1577517467
Surgut,RU,61.25,3.2,84,8.95,40,1577517467
Huittinen,FI,61.18,15.8,100,2.24,90,1577517467
Atar,MR,20.52,64.08,16,11.52,0,1577517467
Puerto del Rosario,ES,28.5,61.83,82,6.93,0,1577517467
Shu,KZ,43.6,39.99,83,1.99,100,1577517467
Bongandanga,CD,1.51,77.7,67,1.83,94,1577517468
Kampong Thum,KH,12.71,88.63,37,9.17,0,1577517468
Antalaha,MG,-14.9,82.2,74,13.42,88,1577517468
Susehri,TR,40.16,21.6,88,3.29,100,1577517468
Uramita,CO,6.9,59.68,98,0.45,100,1577517468
Shakawe,BW,-18.36,81.48,54,1.57,78,1577517468
Wailuku,US,20.89,71.35,83,10.29,20,1577517468
Sao Gabriel da Cachoeira,BR,-0.13,73.63,93,0.94,92,1577517469
Manokwari,ID,-0.87,76.91,87,11.43,57,1577517469
Flin Flon,CA,54.77,4.01,90,0.31,26,1577517469
Mattru,SL,7.62,73.65,90,3.38,0,1577517469
Searcy,US,35.25,54.55,100,5.82,90,1577517469
Bowen,AU,-20.01,83.34,66,13.87,40,1577517469
Hatillo,PR,18.49,72.97,86,5.82,1,1577517469
Palana,RU,59.08,3.49,76,6.73,30,1577517470
Bosaso,SO,11.28,77.0,78,4.47,83,1577517470
Rudnogorsk,RU,57.27,-24.41,89,2.17,0,1577517470
Rabaul,PG,-4.2,79.16,82,13.82,100,1577517470
San Ignacio,PE,-5.15,63.59,98,0.85,99,1577517470
Straumen,NO,63.87,33.1,74,11.41,75,1577517470
Zaysan,KZ,47.47,6.94,90,4.34,57,1577517470
Soyo,AO,-6.13,78.49,87,2.95,100,1577517470
Boromo,BF,11.74,65.46,19,4.97,0,1577517471
Poum,MK,41.28,30.2,68,2.24,40,1577517471
Mwene-Ditu,CD,-7.01,66.94,99,1.88,100,1577517471
Adrar,DZ,27.87,42.8,48,13.87,100,1577517471
Zalantun,CN,48.0,-1.03,79,4.12,1,1577517471
San Vicente,EC,-0.59,77.0,88,3.36,90,1577517471
Harper,US,30.3,59.85,93,8.05,90,1577517471
Pangody,RU,65.85,-7.1,99,8.97,99,1577517472
Wenatchee,US,47.42,28.6,87,0.85,90,1577517472
Karasburg,NA,-28.01,81.54,11,11.79,5,1577517472
Viedma,AR,-40.81,68.83,77,11.72,82,1577517472
Shenjiamen,CN,29.96,54.34,63,12.55,12,1577517216
Bilibino,RU,68.06,-22.18,99,2.06,0,1577517472
Byron Bay,AU,-28.65,79.57,57,12.75,40,1577517472
